successful,count,mean,std,min,25%,50%,75%,max
0,15123.0,5.66655028764134,7.2767350990986195,0.0,1.59,3.99,6.99,154.99
1,11952.0,6.59904953145917,8.54413454229196,0.0,1.99,4.79,7.99,421.99
