main_genre,success_ratio
Software Training,0.965034965034965
Web Publishing,0.9055555555555556
Design & Illustration,0.7751925319152945
RPG,0.7479083939830129
Animation & Modeling,0.7441979694633656
Adventure,0.7398738857167988
Sexual Content,0.7302127726190796
Indie,0.7241324615935341
Action,0.7161121586041203
Education,0.7134956433126146
